prompt_len,concurrency,n_iterations,mean_latency_mean,mean_latency_lo,mean_latency_hi,p95_latency_mean,p95_latency_lo,p95_latency_hi,p99_latency_mean,p99_latency_lo,p99_latency_hi,mean_ttft_mean,mean_ttft_lo,mean_ttft_hi,p95_ttft_mean,p95_ttft_lo,p95_ttft_hi,p99_ttft_mean,p99_ttft_lo,p99_ttft_hi,requests_per_second_mean,requests_per_second_lo,requests_per_second_hi,tokens_per_second_mean,tokens_per_second_lo,tokens_per_second_hi,error_rate_mean,error_rate_lo,error_rate_hi,timeout_rate_mean,timeout_rate_lo,timeout_rate_hi
2048,4,3,4.442765579738144,4.442272764612258,4.4432583948640305,4.446180941916661,4.445051179002771,4.447310704830551,4.447609930632886,4.443845730422031,4.451374130843742,0.10900418259524529,0.10862182706223758,0.109386538128253,0.11331149641667555,0.11251700661406115,0.11410598621928995,0.11439695288328645,0.11238607996763712,0.11640782579893579,0.9000777077307363,0.8999848025494186,0.9001706129120539,115.20994658953424,115.19805472632558,115.2218384527429,0.0,0.0,0.0,0.0,0.0,0.0
2048,8,3,4.5991310600116515,4.5991310600116515,4.5991310600116515,4.624756185198203,4.624756185198203,4.624756185198203,4.629709958373569,4.629709958373569,4.629709958373569,0.1278021479000537,0.1278021479000537,0.1278021479000537,0.1586540261283517,0.1586540261283517,0.1586540261283517,0.16168874617666007,0.16168874617666007,0.16168874617666007,0.5793067680313925,-1.9132490788012175,3.0718626148640027,74.15126630801824,-244.89588208655584,393.19841470259234,0.6666666666666666,-0.7675509099164876,2.100884243249821,0.0,0.0,0.0
2048,16,3,4.947403145340594,4.753368824963903,5.141437465717286,5.002264602784999,4.596117988698377,5.408411216871621,5.006400186389219,4.63794338744887,5.374856985329568,0.17376970831201805,-0.08114506195925253,0.4286844785832886,0.2519121864112094,-0.03272924758568957,0.5365536204081083,0.2536364494846202,-0.02259032480816603,0.5298632237774065,2.1482729508116774,-2.473429430217766,6.76997533184112,274.9789377038947,-316.59896706787407,866.5568424756634,0.3333333333333333,-1.100884243249821,1.7675509099164874,0.0,0.0,0.0
2048,32,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4096,1,3,4.348565809261909,4.3483656372825665,4.348765981241251,4.349192199549937,4.348005157117172,4.350379241982702,4.3493651999105785,4.348099778697551,4.350630621123606,0.06063341321420185,0.060417527648256406,0.06084929878014729,0.0615796874668528,0.06057361295073016,0.06258576198297544,0.06208480575986869,0.059502288792126545,0.06466732272761083,0.22995792371561366,0.2299464024073987,0.22996944502382863,29.43461423559855,29.433139508147033,29.436088963050064,0.0,0.0,0.0,0.0,0.0,0.0
4096,2,3,4.452765619559451,4.44967433924395,4.455856899874952,4.456527091182989,4.4560636657913415,4.456990516574636,4.458137204149398,4.45737144092807,4.458902967370725,0.10814987191662069,0.10451773676339338,0.111782007069848,0.11412591699986478,0.11275674496359993,0.11549508903612964,0.11778246774000156,0.10651614882368388,0.12904878665631925,0.4489117257191035,0.44860431649751636,0.4492191349406906,57.460700892045246,57.421352511682095,57.5000492724084,0.0,0.0,0.0,0.0,0.0,0.0
4096,4,3,4.568059347642875,4.565062758795679,4.571055936490072,4.587625287500259,4.586863641746993,4.588386933253526,4.594709924749971,4.591692004824384,4.597727844675558,0.1403396315356856,0.13813274908643047,0.14254651398494073,0.15531962766635843,0.15263151247721263,0.15800774285550423,0.15980897146667605,0.15791778095865044,0.16170016197470166,0.8732316090489672,0.8724868652188793,0.8739763528790552,111.66449200713669,111.5692578898642,111.75972612440917,0.0,0.0,0.0,0.0,0.0,0.0
4096,8,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4096,16,3,5.284879521270341,5.284879521270341,5.284879521270341,5.378593032062053,5.378593032062053,5.378593032062053,5.3959145582513885,5.3959145582513885,5.3959145582513885,0.1954474010223445,0.1954474010223445,0.1954474010223445,0.3579996710876003,0.3579996710876003,0.3579996710876003,0.3621249078353867,0.3621249078353867,0.3621249078353867,1.0040691215058775,-3.3160916249985313,5.324229868010287,127.8723862451131,-422.3180854920004,678.0628579822267,0.6666666666666666,-0.7675509099164876,2.100884243249821,0.0,0.0,0.0
4096,32,3,6.327990334058995,6.327990334058995,6.327990334058995,6.473355921800248,6.473355921800248,6.473355921800248,6.5253989575523885,6.5253989575523885,6.5253989575523885,0.29045505339599914,0.29045505339599914,0.29045505339599914,0.49870229160878815,0.49870229160878815,0.49870229160878815,0.6085271853115409,0.6085271853115409,0.6085271853115409,1.677250672718676,-5.539376512728456,8.893877858165808,213.41442387839479,-704.8337295898891,1131.6625773466787,0.6666666666666666,-0.7675509099164876,2.100884243249821,0.0,0.0,0.0
8192,1,3,4.431727963166936,4.4314661893401315,4.43198973699374,4.4321698734007136,4.431724428994007,4.43261531780742,4.432247067747309,4.431739911486137,4.432754224008482,0.07889162483349667,0.0782026093189414,0.07958064034805194,0.0795418346165358,0.07881096219230166,0.08027270704076994,0.07959132665628506,0.07884970578912281,0.0803329475234473,0.22564284699845116,0.22562950864597742,0.2256561853509249,28.88228441580175,28.88057710668511,28.88399172491839,0.0,0.0,0.0,0.0,0.0,0.0
8192,2,3,4.580307728261882,4.579704362302545,4.58091109422122,4.583411236616879,4.582339457446179,4.584483015787579,4.593706230886622,4.5933103387549465,4.594102123018297,0.12171367713094262,0.12147547109130123,0.12195188317058402,0.1289481966998513,0.12850197524033555,0.12939441815936706,0.13760692579634146,0.136979823270989,0.1382340283216939,0.4364163140760142,0.4363570620181232,0.43647556613390526,55.86128820172982,55.85370393831977,55.86887246513987,0.0,0.0,0.0,0.0,0.0,0.0
8192,4,3,4.327291381370842,4.173262950899371,4.481319811842313,4.836129549217124,4.834079901675065,4.8381791967591825,4.8401940294268995,4.832831246467046,4.8475568123867525,0.17745951279096053,0.15561974576752452,0.19929927981439655,0.20938333601695072,0.20857650883379147,0.21019016320010997,0.210277399166686,0.20963161205784692,0.2109231862755251,0.8974337535869529,0.8752661788426874,0.9196013283312183,103.02733703013543,96.19042859243413,109.86424546783672,0.0,0.0,0.0,0.0,0.0,0.0
8192,8,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
8192,16,3,6.003928628390443,6.003928628390443,6.003928628390443,6.172241548309103,6.172241548309103,6.172241548309103,6.251765348445624,6.251765348445624,6.251765348445624,0.3290900907362114,0.3290900907362114,0.3290900907362114,0.6580758138559759,0.6580758138559759,0.6580758138559759,0.6610897357854992,0.6610897357854992,0.6610897357854992,0.8550259069306428,-2.823853645530997,4.533905459392282,108.88012536998234,-359.5932432686358,577.3534940086005,0.6666666666666666,-0.7675509099164876,2.100884243249821,0.0,0.0,0.0
8192,32,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
